date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2009-02-19,17,10,0.0,11.1,4,4,21,03:34 AM,01:13 PM,07:19 AM,06:25 PM,7,12,13,12,24,23,65,1.1,1012,17,10,141,15
2009-02-20,12,9,0.0,5.5,4,4,14,04:21 AM,02:08 PM,07:17 AM,06:26 PM,8,7,11,7,44,64,86,12.8,1009,12,9,233,30
2009-02-21,8,8,0.0,7.1,2,2,6,05:04 AM,03:06 PM,07:16 AM,06:27 PM,6,5,8,5,38,78,84,10.1,1008,8,10,257,27
2009-02-22,10,7,0.0,11.1,3,3,0,05:40 AM,04:05 PM,07:15 AM,06:28 PM,5,6,9,6,24,26,79,1.7,1011,10,10,228,18
2009-02-23,10,8,0.0,11.2,3,3,0,06:12 AM,05:04 PM,07:14 AM,06:29 PM,6,6,9,6,29,38,83,4.4,1012,10,10,206,20
2009-02-24,12,9,0.0,11.2,3,3,0,06:42 AM,06:03 PM,07:13 AM,06:30 PM,7,7,10,7,35,49,81,2.3,1015,12,10,203,25
2009-02-25,12,8,0.0,11.2,3,3,1,07:10 AM,07:03 PM,07:12 AM,06:31 PM,6,9,10,9,15,20,77,0.6,1016,12,10,212,11
2009-02-26,15,9,0.0,11.2,4,4,9,07:36 AM,08:03 PM,07:10 AM,06:32 PM,5,11,12,11,28,7,61,0.0,1010,15,10,192,18
2009-02-27,11,8,0.0,7.1,2,2,16,08:03 AM,09:05 PM,07:09 AM,06:32 PM,7,6,9,6,37,71,87,12.2,1006,11,9,218,25
2009-02-28,9,7,0.0,5.6,2,2,24,08:32 AM,10:08 PM,07:08 AM,06:33 PM,6,4,8,4,42,99,87,13.5,1008,9,9,236,30
2009-03-01,9,7,0.0,11.3,3,3,30,09:05 AM,11:15 PM,07:07 AM,06:34 PM,5,7,8,7,15,26,78,4.8,1013,9,10,258,11
2009-03-02,10,8,0.0,8.6,3,3,37,09:42 AM,No moonset,07:06 AM,06:35 PM,6,7,9,7,23,51,78,0.1,1019,10,10,238,16
2009-03-03,11,10,0.0,7.1,4,4,45,10:27 AM,12:22 AM,07:04 AM,06:36 PM,8,8,10,8,22,55,87,5.8,1018,11,10,245,16
2009-03-04,14,11,0.0,11.3,4,4,52,11:20 AM,01:31 AM,07:03 AM,06:37 PM,9,10,12,10,21,17,81,0.2,1019,14,10,198,15
2009-03-05,19,11,0.0,11.4,5,5,59,12:21 PM,02:35 AM,07:02 AM,06:38 PM,8,15,16,15,23,18,61,0.0,1017,19,10,145,12
2009-03-06,22,15,0.0,11.4,5,5,67,01:30 PM,03:33 AM,07:00 AM,06:38 PM,5,18,18,18,44,9,43,0.0,1012,22,10,140,22
2009-03-07,24,17,0.0,11.6,6,6,74,02:42 PM,04:23 AM,06:59 AM,06:39 PM,6,20,21,20,45,9,40,0.0,1007,24,10,131,22
2009-03-08,19,13,0.0,11.6,5,5,81,03:54 PM,05:06 AM,06:58 AM,06:40 PM,10,17,17,17,29,42,66,0.0,1007,19,10,225,18
2009-03-09,12,10,0.0,11.6,3,3,88,05:04 PM,05:42 AM,06:57 AM,06:41 PM,7,9,11,9,33,22,76,1.2,1013,12,10,232,26
2009-03-10,13,11,0.0,11.6,4,4,96,06:12 PM,06:14 AM,06:55 AM,06:42 PM,9,10,12,10,25,23,82,0.1,1018,13,10,213,19
2009-03-11,15,10,0.0,11.6,4,4,100,07:18 PM,06:45 AM,06:54 AM,06:42 PM,8,11,12,11,19,17,76,0.0,1018,15,10,200,14
2009-03-12,18,11,0.0,11.6,4,4,90,08:22 PM,07:14 AM,06:53 AM,06:43 PM,8,14,14,14,20,7,68,0.0,1015,18,10,192,12
2009-03-13,16,11,0.0,11.6,4,4,83,09:26 PM,07:44 AM,06:51 AM,06:44 PM,9,12,13,12,20,17,79,0.0,1012,16,10,260,15
2009-03-14,11,10,0.0,10.2,4,4,75,10:29 PM,08:16 AM,06:50 AM,06:45 PM,7,7,10,7,39,58,82,2.7,1013,11,10,243,29
2009-03-15,11,8,0.0,11.6,3,3,68,11:31 PM,08:51 AM,06:48 AM,06:46 PM,5,7,10,7,27,26,75,1.9,1016,11,10,254,21
2009-03-16,11,6,0.0,11.6,3,3,61,No moonrise,09:31 AM,06:47 AM,06:46 PM,2,8,9,8,13,2,60,0.0,1018,11,10,268,10
2009-03-17,12,7,0.0,11.6,3,3,53,12:30 AM,10:15 AM,06:46 AM,06:47 PM,2,8,10,8,20,15,60,0.0,1018,12,10,141,14
2009-03-18,13,7,0.0,11.6,3,3,46,01:25 AM,11:04 AM,06:44 AM,06:48 PM,4,9,11,9,13,36,65,0.0,1015,13,10,198,10
2009-03-19,14,7,0.0,11.6,4,4,39,02:15 AM,11:58 AM,06:43 AM,06:49 PM,5,10,12,10,18,7,62,0.0,1016,14,10,238,13
2009-03-20,13,10,0.0,10.2,4,4,32,02:59 AM,12:55 PM,06:42 AM,06:49 PM,8,11,12,11,16,37,76,0.0,1014,13,10,145,11
2009-03-21,15,10,0.0,11.6,4,4,24,03:38 AM,01:53 PM,06:40 AM,06:50 PM,9,13,13,13,12,1,76,0.0,1014,15,10,208,10
2009-03-22,15,8,0.0,11.6,4,4,17,04:11 AM,02:52 PM,06:39 AM,06:51 PM,6,11,12,11,14,9,66,0.0,1014,15,10,234,11
2009-03-23,17,9,0.0,10.2,4,4,10,04:42 AM,03:51 PM,06:38 AM,06:52 PM,6,11,13,11,31,42,65,7.4,1006,17,9,220,22
2009-03-24,11,9,0.0,11.6,3,3,3,05:10 AM,04:50 PM,06:36 AM,06:53 PM,7,7,10,7,37,36,81,5.1,1009,11,9,246,27
2009-03-25,11,9,0.0,10.2,4,4,0,05:38 AM,05:51 PM,06:35 AM,06:53 PM,8,9,11,9,19,27,80,0.2,1017,11,10,221,14
2009-03-26,14,9,0.0,11.6,4,4,0,06:05 AM,06:53 PM,06:33 AM,06:54 PM,5,10,12,10,22,11,63,0.0,1015,14,10,198,15
2009-03-27,14,10,0.0,7.5,4,4,5,06:34 AM,07:57 PM,06:32 AM,06:55 PM,5,8,11,8,50,52,69,10.7,1009,14,9,213,35
2009-03-28,11,10,0.0,11.6,4,4,12,07:06 AM,09:04 PM,06:31 AM,06:56 PM,7,8,10,8,26,39,79,2.3,1011,11,10,257,20
2009-03-29,13,9,0.0,11.6,4,4,19,07:43 AM,10:13 PM,06:29 AM,06:56 PM,6,9,11,9,23,8,72,0.6,1017,13,10,248,17
2009-03-30,14,9,0.0,11.6,4,4,26,08:25 AM,11:23 PM,06:28 AM,06:57 PM,7,11,12,11,19,4,71,0.0,1017,14,10,212,14
2009-03-31,15,9,0.0,11.6,4,4,30,09:17 AM,No moonset,06:27 AM,06:58 PM,9,14,14,14,13,0,73,0.0,1014,15,10,174,10
2009-04-01,19,12,0.0,10.2,5,5,42,10:16 AM,12:28 AM,06:25 AM,06:59 PM,9,16,16,16,24,17,61,0.0,1012,19,10,123,13
2009-04-02,21,16,0.0,11.6,5,5,50,11:22 AM,01:28 AM,06:24 AM,06:59 PM,6,18,19,18,24,11,45,0.0,1010,21,10,121,12
2009-04-03,19,13,0.0,11.6,5,5,58,12:32 PM,02:20 AM,06:23 AM,07:00 PM,10,16,16,16,15,12,65,0.0,1011,19,10,196,9
2009-04-04,18,12,0.0,11.6,4,4,65,01:42 PM,03:04 AM,06:21 AM,07:01 PM,12,15,15,15,11,14,81,0.0,1013,18,10,173,8
2009-04-05,18,12,0.0,11.6,5,5,73,02:50 PM,03:41 AM,06:20 AM,07:02 PM,11,16,16,16,20,19,74,0.0,1014,18,10,154,12
2009-04-06,23,13,0.0,11.6,5,5,80,03:57 PM,04:14 AM,06:19 AM,07:02 PM,10,17,18,17,43,7,64,0.0,1013,23,10,183,28
2009-04-07,17,12,0.0,11.6,4,4,88,05:02 PM,04:44 AM,06:17 AM,07:03 PM,9,13,14,13,19,4,72,0.0,1016,17,10,231,15
2009-04-08,15,11,0.0,11.6,4,4,95,06:06 PM,05:14 AM,06:16 AM,07:04 PM,9,11,12,11,21,30,80,0.6,1013,15,10,233,16
2009-04-09,15,10,0.0,11.6,4,4,100,07:09 PM,05:43 AM,06:15 AM,07:05 PM,9,13,13,13,10,11,77,0.0,1013,15,10,278,8
2009-04-10,16,10,0.0,11.6,4,4,90,08:12 PM,06:13 AM,06:14 AM,07:05 PM,9,13,14,13,16,7,73,0.0,1014,16,10,177,11
2009-04-11,19,11,0.0,11.6,5,5,82,09:15 PM,06:47 AM,06:12 AM,07:06 PM,9,15,16,15,19,4,65,0.0,1013,19,10,155,13
2009-04-12,20,15,0.0,11.6,5,5,75,10:16 PM,07:26 AM,06:11 AM,07:07 PM,8,17,17,17,22,11,53,0.0,1010,20,10,194,13
2009-04-13,22,15,0.0,11.6,5,5,67,11:14 PM,08:08 AM,06:10 AM,07:08 PM,7,18,19,18,26,1,48,0.0,1012,22,10,134,14
2009-04-14,22,17,0.0,11.6,5,5,59,No moonrise,08:56 AM,06:08 AM,07:09 PM,8,20,21,20,32,12,45,0.0,1008,22,10,137,16
2009-04-15,15,13,0.0,11.6,4,4,52,12:06 AM,09:49 AM,06:07 AM,07:09 PM,11,11,14,11,37,37,85,0.8,1008,15,10,239,28
2009-04-16,13,12,0.0,7.8,3,3,44,12:53 AM,10:44 AM,06:06 AM,07:10 PM,11,10,12,10,34,69,90,10.7,1008,13,9,241,24
2009-04-17,15,11,0.0,11.6,4,4,37,01:34 AM,11:42 AM,06:05 AM,07:11 PM,8,12,13,12,19,12,73,6.5,1010,15,10,237,14
2009-04-18,16,11,0.0,11.6,4,4,29,02:09 AM,12:39 PM,06:04 AM,07:12 PM,6,13,14,13,19,4,62,0.0,1014,16,10,205,13
2009-04-19,19,12,0.0,11.6,5,5,22,02:40 AM,01:38 PM,06:02 AM,07:12 PM,6,16,17,16,27,0,50,0.0,1018,19,10,162,15
2009-04-20,22,15,0.0,11.6,5,5,14,03:09 AM,02:36 PM,06:01 AM,07:13 PM,6,19,20,19,20,4,43,0.0,1016,22,10,131,11
2009-04-21,22,15,0.0,13.1,5,5,7,03:37 AM,03:36 PM,06:00 AM,07:14 PM,7,19,20,19,14,2,43,0.0,1012,22,10,177,8
2009-04-22,23,15,0.0,13.6,5,5,0,04:04 AM,04:36 PM,05:59 AM,07:15 PM,6,21,21,21,15,1,38,0.0,1009,23,10,162,9
2009-04-23,18,13,0.0,13.3,5,5,0,04:32 AM,05:40 PM,05:58 AM,07:15 PM,9,15,16,15,24,28,66,0.0,1010,18,10,228,17
2009-04-24,17,13,0.0,13.6,4,4,0,05:03 AM,06:46 PM,05:57 AM,07:16 PM,11,14,15,14,21,27,77,0.0,1014,17,10,228,16
2009-04-25,18,13,0.0,13.6,5,5,1,05:38 AM,07:56 PM,05:56 AM,07:17 PM,10,15,15,15,17,8,73,0.0,1015,18,10,226,13
2009-04-26,17,12,0.0,13.6,4,4,8,06:20 AM,09:08 PM,05:55 AM,07:18 PM,10,15,15,15,13,4,73,0.0,1017,17,10,204,10
2009-04-27,19,12,0.0,13.7,5,5,16,07:09 AM,10:17 PM,05:53 AM,07:19 PM,8,16,16,16,16,11,59,0.0,1016,19,10,191,11
2009-04-28,19,13,0.0,13.7,5,5,23,08:08 AM,11:21 PM,05:52 AM,07:19 PM,9,16,16,16,12,9,62,0.0,1014,19,10,216,9
